model,epoch,train_loss,train_hidden,train_observed,train_kl,train_arb,train_arb_calendar,train_arb_butterfly,val_loss,val_hidden,val_observed,val_kl,val_arb,val_arb_calendar,val_arb_butterfly
MLP-VAE,13,0.18263169271605356,0.150802985117549,0.1443985034549047,17.38885165623256,0.0,0.0,0.0,0.1458504127131568,0.11722744626027566,0.11568160106738408,17.05480327606201,0.0,0.0,0.0
MLP-VAE,14,0.1776139413553571,0.14658180129906487,0.13998844032249755,17.033296857561385,0.0,0.0,0.0,0.14572420727323604,0.1172180633853983,0.1151816482897158,16.987987249868887,0.0,0.0,0.0
MLP-VAE,15,0.17115151853788466,0.1405685631292207,0.13624263502775677,16.95868920220269,0.0,0.0,0.0,0.14540340425791565,0.11760163445163656,0.11532217308327004,16.26955329047309,0.0,0.0,0.0
MLP-VAE,16,0.1713589137035703,0.14131186301746065,0.13244709311023592,16.80233985658676,0.0,0.0,0.0,0.14587823847929637,0.11724325015589043,0.11506240119536718,17.128733981097184,0.0,0.0,0.0
MLP-VAE,17,0.1671042972140842,0.13724473511415813,0.13134675929470668,16.72488526843843,0.0,0.0,0.0,0.14526445942896385,0.117024922977995,0.1150632534314085,16.733210337603534,0.0,0.0,0.0
MLP-VAE,18,0.1636634807738047,0.13414834212689172,0.12866529521961062,16.6486083984375,0.0,0.0,0.0,0.14266624726631022,0.11542292866441939,0.11348061158701225,15.895256565235279,0.0,0.0,0.0
MLP-VAE,19,0.16729879232626113,0.13847890316493927,0.1276225255358787,16.057635334559848,0.0,0.0,0.0,0.14103798424756087,0.1140032477400921,0.11191467664859912,15.843276574876572,0.0,0.0,0.0
MLP-VAE,20,0.16259737785846468,0.13440920672719442,0.1248327177195322,15.704903000120133,0.0,0.0,0.0,0.14183115307931546,0.11527775128682455,0.11342601367720852,15.210804699085378,0.0,0.0,0.0
MLP-VAE,21,0.15854272265282887,0.13034278599042742,0.12444324171732342,15.755606914701916,0.0,0.0,0.0,0.1394019463547954,0.11254141165150536,0.11101956483390596,15.758585089224356,0.0,0.0,0.0
MLP-VAE,22,0.15908346904648674,0.1309043761756685,0.1233778223631874,15.841308512006487,0.0,0.0,0.0,0.13946774259761527,0.11256916164248078,0.1111476802163654,15.783814147666648,0.0,0.0,0.0
MLP-VAE,23,0.15391379585341802,0.12597369040761675,0.12123414358449361,15.816696015615312,0.0,0.0,0.0,0.13974641925758785,0.1127210396859381,0.11053665225152616,15.971717460067184,0.0,0.0,0.0
MLP-VAE,24,0.15461540638454377,0.12725360790888468,0.12095215462502978,15.266581777542356,0.0,0.0,0.0,0.13811004283251585,0.1118718437022633,0.11010783369894381,15.227421739366319,0.0,0.0,0.0
MLP-VAE,25,0.15088214812770723,0.1237397824487989,0.12063069897038596,15.079297341240776,0.0,0.0,0.0,0.13775127938500156,0.11165944840069171,0.11032809074278231,15.059014426337349,0.0,0.0,0.0
MLP-VAE,26,0.1511213262402822,0.12415310454273981,0.11950436927496441,15.017782259744312,0.0,0.0,0.0,0.1375643285336318,0.11132651567459106,0.11007006565729777,15.230805474740487,0.0,0.0,0.0
MLP-VAE,27,0.1513703259210738,0.12433899896485465,0.11937488213418022,15.093840689886184,0.0,0.0,0.0,0.13712676796648238,0.11112090133958392,0.109451556260939,15.060710038079156,0.0,0.0,0.0
MLP-VAE,28,0.14727753646790034,0.1204826262025606,0.11798112735388772,14.996801657903761,0.0,0.0,0.0,0.13736270544705567,0.1119455654863958,0.10971632958562286,14.445506555062753,0.0,0.0,0.0
MLP-VAE,29,0.14733204425327362,0.120583652291033,0.11915586834389066,14.832800283886137,0.0,0.0,0.0,0.13774538978382392,0.11235686397110975,0.10987008997687588,14.401515501516837,0.0,0.0,0.0
MLP-VAE,30,0.15067482609597463,0.12428385094990806,0.11785773339252624,14.605198999435183,0.0,0.0,0.0,0.13665490448474885,0.11111493601843163,0.10928342292706171,14.611614658214428,0.0,0.0,0.0
MLP-VAE,31,0.14872572313225457,0.12222854128432652,0.11714488951459763,14.782697995503744,0.0,0.0,0.0,0.1371237223898923,0.11156062737659171,0.11040212092576203,14.52288040584988,0.0,0.0,0.0
MLP-VAE,32,0.14849659270710416,0.1221006971503061,0.11785104021666543,14.610788884238591,0.0,0.0,0.0,0.135339108882127,0.10976764675643709,0.10880684162731524,14.690788926018609,0.0,0.0,0.0
MLP-VAE,33,0.15056924275935643,0.1245266079902649,0.11572576089510841,14.470056948586116,0.0,0.0,0.0,0.13475261551362497,0.10927589452928967,0.10791390836238861,14.685328427067509,0.0,0.0,0.0
MLP-VAE,34,0.1508821804372091,0.12493223713503944,0.11527457920804857,14.422482899257115,0.0,0.0,0.0,0.1366422265768051,0.11101492196321487,0.10938890719855274,14.688412037602177,0.0,0.0,0.0
MLP-VAE,35,0.14790141095244697,0.12191555641946339,0.1159853623499946,14.387320978679353,0.0,0.0,0.0,0.13526311803747107,0.11024683664242427,0.10843134952916039,14.173147809063947,0.0,0.0,0.0
MLP-VAE,36,0.146998887970334,0.12123744852013058,0.11431101905921148,14.330338132949102,0.0,0.0,0.0,0.1315364956855774,0.10689602588061933,0.10598537728742317,14.041925253691497,0.0,0.0,0.0
MLP-VAE,37,0.14045180233698043,0.11502906436484958,0.11240008977197466,14.182729990520174,0.0,0.0,0.0,0.12703501526956204,0.10247696146920875,0.101554752168832,14.40257682800293,0.0,0.0,0.0
MLP-VAE,38,0.13653941750526427,0.11131361536090337,0.1069583812166774,14.529962058294387,0.0,0.0,0.0,0.1182758096743513,0.0944059560696284,0.09281433605485492,14.588417561848958,0.0,0.0,0.0
MLP-VAE,39,0.12343463620969228,0.09906392606004837,0.09331069434919055,15.039642491416325,0.0,0.0,0.0,0.09792108353641298,0.07519565031484321,0.0733440770595162,15.391023501643428,0.0,0.0,0.0
MLP-VAE,40,0.10153214037418365,0.07841465298145536,0.07111793396964906,16.00569182501899,0.0,0.0,0.0,0.07498690745344869,0.053184875321609,0.05155476138547615,16.646557172139484,0.0,0.0,0.0
MLP-VAE,41,0.08671523401188472,0.06366847053406731,0.05782557931684312,17.264207301064143,0.0,0.0,0.0,0.06829829530583488,0.046139552113082676,0.043204231532635515,17.838315405669036,0.0,0.0,0.0
MLP-VAE,42,0.07800446980529362,0.05464954006056937,0.05118959639517088,18.23597218346974,0.0,0.0,0.0,0.065148767221857,0.04303357231396216,0.03971978337676437,18.143214932194464,0.0,0.0,0.0
MLP-VAE,43,0.07783536390652732,0.05462211214360737,0.04977236399574885,18.23601229834178,0.0,0.0,0.0,0.06271439125692403,0.04084773510694504,0.03671115178752828,18.19553529244882,0.0,0.0,0.0
